192.PRJNA238398	192.PRJNA238398.ABAZ39_02755	342108.amb4296	4.9e-23	70.1			
192.PRJNA238398	192.PRJNA238398.ABAZ39_06050	342108.amb1865	3.2e-82	265.4			
192.PRJNA238398	192.PRJNA238398.ABAZ39_12535	342108.amb2658	4.9e-22	66.5			
192.PRJNA238398	192.PRJNA238398.ABAZ39_12540	862719.AZOLI_2433	2.4e-20	61.8			
192.PRJNA238398	192.PRJNA238398.ABAZ39_00005	1064539.AZOBR_10277	0	1137.9	DNAA	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006164,GO:0006172,GO:0006195,GO:0006200,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006461,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009125,GO:0009126,GO:0009127,GO:0009128,GO:0009132,GO:0009133,GO:0009135,GO:0009136,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009152,GO:0009154,GO:0009156,GO:0009158,GO:0009161,GO:0009163,GO:0009164,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009169,GO:0009179,GO:0009180,GO:0009185,GO:0009188,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009260,GO:0009261,GO:0009889,GO:0009987,GO:0010556,GO:0016020,GO:0016043,GO:0016311,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0022607,GO:0030312,GO:0030554,GO:0031323,GO:0031326,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034654,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042451,GO:0042454,GO:0042455,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044270,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0044710,GO:0046031,GO:0046034,GO:0046128,GO:0046129,GO:0046130,GO:0046390,GO:0046434,GO:0046483,GO:0046700,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0051259,GO:0051260,GO:0055086,GO:0060255,GO:0065003,GO:0065007,GO:0070271,GO:0071704,GO:0071822,GO:0071840,GO:0071944,GO:0072521,GO:0072522,GO:0072523,GO:0080090,GO:0090304,GO:0090407,GO:0097159,GO:1901135,GO:1901136,GO:1901137,GO:1901265,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901657,GO:1901658,GO:1901659,GO:2000112	2020,4112
192.PRJNA238398	192.PRJNA238398.ABAZ39_00010	1064539.AZOBR_10276	2.9e-272	892.9			2010
192.PRJNA238398	192.PRJNA238398.ABAZ39_00015	1064539.AZOBR_10275	3e-232	760.2	POTA		2010
192.PRJNA238398	192.PRJNA238398.ABAZ39_00020	1064539.AZOBR_10274	0	1041.5	COPC	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0042597,GO:0044464,GO:0071944	
192.PRJNA238398	192.PRJNA238398.ABAZ39_00025	1064539.AZOBR_10273	3.5e-120	388.4	YCNI	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	
192.PRJNA238398	192.PRJNA238398.ABAZ39_00035	1064539.AZOBR_10270	1.1e-194	635.6		GO:0005575,GO:0016020	2010
